Ingenuity Canonical Pathways,nlogp,Ratio,z-score,combined,Molecules
GP6 Signaling Pathway,2.44,0.195,2.2,5.368,"AKT1,COL16A1,COL1A2,COL20A1,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,FYN,ITGB3,LAMA3,LAMA4,LAMB1,LAMB3,LAMC1,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,PTK2,TLN1"
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway,4.06,0.206,1.333,5.41198,"AKT1,BRAF,EGFR,EGR1,ETS1,FGF5,IKBKE,JAK3,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAPK13,MMP1,NFKB2,NGFR,PARD6G,PDGFA,PDGFC,PDGFRB,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RELA,RELB,RRAS,SHC3,SMAD4,SNAI2,SOS1,TCF3,TGFB1,TGFB3,TNFRSF11B,TNFRSF1B,TNFSF12,TNFSF15,TNFSF9"
NLR signaling pathways,2.56,0.25,2.138,5.47328,"AAMP,BIRC2,CASP2,CASP4,CASP8,IRAK2,MAP2K6,MAPK13,NFKB2,NLRP1,RELA,RIPK2,TXNIP,UBE2V1"
Nucleotide salvage,3.3,0.391,1.667,5.5011,"ADA,ADAL,AMPD2,AMPD3,DGUOK,TK1,TK2,UCK2,UCKL1"
Colorectal Cancer Metastasis Signaling,7.6,0.229,0.729,5.5404,"ADCY6,ADCY7,AKT1,APC,ARRB1,AXIN1,BRAF,CASP3,CCND1,CTNNB1,DVL1,EGFR,FZD1,FZD2,FZD5,GNAI1,GNB1,GNG11,GRK2,GRK3,JAK3,LEF1,LRP1,MAP2K1,MLH1,MMP1,MMP10,MMP16,MSH2,MSH3,MYC,NFKB2,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PRKACB,PTGER4,RALGDS,RAP1A,RASD1,RELA,RELB,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,SMAD4,SOS1,TCF3,TGFB1,TGFB3,TLR1,TLR3,TLR4,TLR6,TLR7,TP53,WNT2B"
Senescence Pathway,8.81,0.233,0.64,5.6384,"ACVR2B,AKT1,ANAPC1,ANAPC11,ANAPC4,ATF3,BRAF,CACNA1F,CACNA2D2,CACNG7,CAPN10,CAPNS1,CBX7,CCNB3,CCND1,CCND3,CCNE2,CDK4,CDKN1A,CHP1,DHCR24,E2F3,E2F6,E2F7,EIF4EBP1,ELF1,ELF3,ELF4,ETS1,GADD45A,HIPK2,IKBKE,IL1A,IRF3,KAT2B,MAP2K1,MAP2K6,MAP2K7,MAPK7,MAPKAPK2,MAPKAPK5,NBN,NFKB2,PCGF1,PDK2,PIK3C2B,PIK3R1,PIK3R3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PPP3CA,PPP3CC,RAP1A,RASD1,RB1,RBL1,RBL2,RRAS,SERPINE1,SMAD4,SMAD6,TGFB1,TGFB3,TGFBR3,TP53,YPEL3,ZFP36L1"
Eicosanoid Signaling,2.96,0.174,1.938,5.73648,"ABCB8,ADCY6,ADCY7,AKR1C3,AKT1,AP1S1,ARRB1,ATP2A1,BRAF,CCND1,CREB3L2,CTNNB1,EGFR,EGR1,ETS1,GNAI1,GNB1,GNG11,HPGD,LEF1,MAP2K1,MAPK13,MAPKAP1,MAPKAPK2,MAPKAPK5,MYC,NFKB2,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PLAAT4,PLAAT5,PLCB3,PLCD3,PNPLA2,PPARD,PRKACB,PRKCD,PRKCI,PTGER4,PTGES,PTGFR,RAP1A,RAPGEF3,RASD1,RRAS,SOX9,TCF3"
MSP-RON Signaling in Cancer Cells Pathway,3.33,0.21,1.732,5.76756,"AKT1,ARNT,BRAF,CCND1,CREB3L2,CTNNB1,EGFR,ELF1,ELF3,ELF4,ETS1,KLK14,LEF1,MAP2K1,MYC,NFKB2,NFKBIA,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PTK2,RAP1A,RASD1,RELA,RELB,RRAS,SOS1,TCF3,TRIM24"
HMGB1 Signaling,4.17,0.219,1.4,5.838,"AKT1,CCL2,ICAM1,IL1A,IL1B,KAT2B,MAP2K1,MAP2K6,MAP2K7,MAPK13,NFKB2,NGFR,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RELA,RELB,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,SERPINE1,TGFB1,TGFB3,TLR4,TNFRSF11B,TNFRSF1B,TNFSF12,TNFSF15,TNFSF9"
GNRH Signaling,2.87,0.187,2.043,5.86341,"ADCY6,ADCY7,CACNA1F,CACNA2D2,CACNG7,CATSPER3,CREB3L2,EGFR,EGR1,GNAI1,GNB1,GNG11,HBEGF,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,MAPK13,MAPK7,NFKB2,PAK1,PLCB3,PRKACB,PRKCD,PRKCI,PTK2,RAP1A,RASD1,RELA,RELB,RRAS,SOS1"
Interleukin-15 signaling,2.41,0.4,2.449,5.90209,"GAB2,IL15RA,JAK3,SOS1,STAT5A,STAT5B"
Neurexins and neuroligins,2.06,0.228,2.887,5.94722,"APBA3,DLG4,DLGAP4,EPB41L3,GRIN2D,HOMER2,HOMER3,LIN7B,NLGN3,SIPA1L1,STXBP1,SYT1,SYT7"
BMP signaling pathway,3.54,0.244,1.698,6.01092,"ACVR2B,BMP1,BMP2,BMP4,BMP8B,BMPR1A,CAMK4,MAGED1,MAP2K1,MAPK13,NFKB2,NOG,PITX2,PRKACB,RAP1A,RASD1,RELA,RELB,RRAS,SMAD4,SMAD6,SOS1"
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",2.13,0.296,2.828,6.02364,"BHLHE41,BMAL2,CARM1,DBP,HELZ2,NAMPT,PPARA,SERPINE1"
Integrin signaling,2.13,0.296,2.828,6.02364,"AKT1,ITGB3,PTK2,PTPN1,RAP1A,RAPGEF3,SOS1,TLN1"
Mouse Embryonic Stem Cell Pluripotency,4.33,0.252,1.4,6.062,"AKT1,APC,AXIN1,BMP4,BMPR1A,CTNNB1,DVL1,DVL3,FZD1,FZD2,FZD5,JAK3,LEF1,MAP2K1,MAPK13,MYC,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,SMAD4,SOS1,TCF3,TP53"
Glioblastoma Multiforme Signaling,7.12,0.257,0.87,6.1944,"AKT1,APC,AXIN1,CCND1,CCND3,CCNE2,CDK4,CDKN1A,CTNNB1,E2F3,E2F6,E2F7,EGFR,FZD1,FZD2,FZD5,LEF1,MAP2K1,MYC,NF2,PDGFA,PDGFC,PDGFRB,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PRKCD,RAP1A,RASD1,RB1,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,SHC3,SOS1,TCF3,TP53,WNT2B"
Signaling by TGF-beta Receptor Complex,5.54,0.352,1.147,6.35438,"BAMBI,CBL,CGN,F11R,ITGB3,ITGB6,ITGB8,LTBP3,LTBP4,NEDD4L,PMEPA1,PPP1R15A,SMAD4,SMURF2,TGFB1,TGFB3,TGFBR3,UCHL5,ZFYVE9"
Role of Tissue Factor in Cancer,7.39,0.245,0.866,6.39974,"ACVR2B,AKT1,ARRB1,BRAF,CASP3,CCN1,CCN2,EGFR,EGR1,FGF5,FLNC,FRK,FYN,HBEGF,IKBKE,IL1B,ITGB3,KDR,MAP2K1,MAP2K6,MAP2K7,MAPK13,MAPK7,MMP1,NFKB2,NGFR,PIK3C2B,PIK3R1,PIK3R3,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRSS3,PTK2,RAP1A,RASD1,RB1,RBL1,RBL2,RRAS,STAT5A,STAT5B,TFPI,TGFB1,TGFB3,TGFBR3,TNFRSF11B,TNFRSF1B,TP53,YES1"
TGF-β Signaling,3.47,0.237,1.886,6.54442,"ACVR2B,BMP2,BMP4,BMPR1A,HDAC1,MAP2K1,MAP2K6,MAPK13,PITX2,PMEPA1,RAP1A,RASD1,RRAS,SERPINE1,SMAD4,SMAD6,SMURF2,SOS1,TGFB1,TGFB3,TGIF1,VDR,ZFYVE9"
GADD45 Signaling,6.02,0.35,1.091,6.56782,"ACVR2B,CCND1,CCND3,CCNE2,CDK4,CDKN1A,GADD45A,IL1B,MAP2K6,MAP2K7,MAP3K4,MAPK13,MYC,NFKB2,RELA,RELB,SMAD4,TGFB1,TGFB3,TP53,ZNF350"
Extracellular matrix organization,3.22,0.224,2.041,6.57202,"ADAM19,COL1A2,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,DAG1,DDR2,ITGB3,ITGB6,LAMA3,LAMA4,LAMB1,LAMB3,LAMC1,MUSK,PDGFA,PTPRS,SERPINE1,TGFB1,TGFB3,TNC"
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,6.41,0.208,1.033,6.62153,"ADAM11,ADAM19,ADAM22,ADAM28,ADAM9,AKT1,BIRC2,BRAF,CAMK4,CBL,CCND1,CHP1,COL16A1,COL1A2,COL20A1,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,CREB3L2,CSF1R,CTNNA1,CTNNB1,FRZB,GSN,IKBKE,IL1B,IL1RAPL1,ITGB3,MAP2K1,MAP2K6,MAP2K7,MAP3K14,MAPK13,MMP1,MMP10,MMP16,NFKBIA,NGFR,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,PTPN1,RAP1A,RASD1,RELA,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,SFRP1,SHC3,SOS1,SRF,TLR4,TNFRSF11B,TNFRSF1B,TRAF2"
Chronic Myeloid Leukemia Signaling,9.35,0.242,0.739,6.90965,"AKT1,AXIN1,CBLC,CCND1,CCND3,CDK4,CDKN1A,CHP1,CTNNB1,DVL1,DVL3,DYRK2,E2F3,E2F6,E2F7,FZD1,FZD2,FZD5,GAB2,GLI1,HDAC1,HDAC5,HDAC7,HDAC9,HSP90B1,IKBKE,LEF1,MAP2K1,MSI2,MYC,NFKB2,NOTCH1,NOTCH2,NOTCH3,NUMB,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PPP3CA,PPP3CC,PRKAB2,RAN,RAP1A,RASD1,RB1,RBL1,RBL2,RELA,RELB,RRAS,SHH,SMAD4,SOS1,SPRED1,STAT5A,STAT5B,TCF3,TFDP1,TGFB1,TGFB3,TP53,TRIB2,ULK1,WNT2B,XPO5,ZNF875"
Endoplasmic Reticulum Stress Pathway,3.66,0.429,1.89,6.9174,"CASP3,CASP7,DDIT3,ERN1,HSP90B1,HSPA5,MBTPS1,MBTPS2,TRAF2"
Unfolded protein response,3.83,0.25,1.807,6.92081,"CANX,DDIT3,DNAJA1,DNAJB12,DNAJB5,DNAJC10,DNAJC13,DNAJC9,EDEM1,EIF2A,ERN1,HSP90B1,HSPA5,HSPH1,MAP2K7,MBTPS1,MBTPS2,OS9,PPARG,PPP1R15A,SREBF1,SYVN1,TRAF2"
Endocannabinoid Cancer Inhibition Pathway,5.41,0.245,1.372,7.42252,"ADCY6,ADCY7,AKT1,ATF3,CAMKK2,CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,CCND1,CCND3,CCNE2,CDKN1A,CREB3L2,CTNNB1,DDIT3,EIF2A,GNAI1,LEF1,MAP2K1,MAP2K6,MAP2K7,MYC,NSMAF,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PRKAB2,PRKACB,PTK2,SNAI2,TCF3,TRIB3"
RHO GTPase cycle,6.99,0.196,1.066,7.45134,"ABI2,ACTN1,ADD3,AKAP12,ANKFY1,ARAP3,ARHGAP10,ARHGAP25,ARHGAP29,ARHGAP31,ARHGAP42,ARHGEF1,ARHGEF2,ARHGEF3,ARL13B,BAIAP2L1,CAV1,CCT2,CHN1,CHN2,COPS4,CYBB,DEF6,DOCK11,DOCK6,DOCK7,DOCK9,DSP,EMC3,EPSTI1,FAM13A,FAM13B,FARP1,FGD1,FMNL2,FMNL3,GFOD1,GIT1,GMIP,GOPC,GRB7,HGS,IL32,IQGAP2,KALRN,KCTD13,KIDINS220,KTN1,LMAN1,MACO1,MPP7,MSI2,MUC13,MYO6,MYO9B,NCKAP1,NET1,OSBPL11,PAK1,PIK3R1,PIK3R3,PKN1,PKP4,PLD2,PLEKHG3,PLEKHG5,PLXNB1,RHOBTB1,RHOBTB2,RHOC,RHOJ,RND3,RNF20,SLC4A7,SOS1,SPTBN1,SRGAP1,SRGAP3,SRRM1,STK10,SYDE2,TFRC,TPM4,TRIP10,VRK2,WHAMM,WIPF1,WWP2"
Pulmonary Healing Signaling Pathway,5.44,0.224,1.372,7.46368,"ACKR3,BMP4,BMPR1A,BRAF,CCND1,CTNNB1,EGFR,FRK,FYN,FZD1,FZD2,FZD5,HBEGF,IDH2,KDR,LEF1,MAPK13,MMP1,MMP10,MMP16,MYC,NFKB2,NFKBIA,NGFR,NOTCH1,NOTCH2,NOTCH3,PDGFC,PRKAB2,PRKCD,PRKCI,RAP1A,RASD1,RRAS,SOS1,STAT5A,STAT5B,TCF3,TGFB1,TGFB3,TLR4,TNFRSF11B,TNFRSF1B,WNT2B,YES1"
RAF/MAP kinase cascade,3.99,0.191,1.897,7.56903,"ANGPT1,AREG,ARRB1,BRAF,BTC,DAB2IP,DLG1,DLG4,DUSP2,DUSP5,EGFR,ERBB3,EREG,FGF5,FYN,GRIN2D,HBEGF,IL17RD,ITGB3,JAK3,LAMTOR3,MAP2K1,NRG1,PDGFA,PDGFRB,PIK3R1,PPP2R1B,PPP2R5A,PPP2R5D,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,PTK2,PTPN3,RALGDS,RAP1A,RGL1,SHC3,SOS1,SPRED1,SPTB,SPTBN1,SPTBN2,SPTBN5,TLN1"
Molecular Mechanisms of Cancer,5.56,0.163,1.362,7.57272,"ACKR3,ACVR2B,ADCY6,ADCY7,ADGRD1,ADGRF4,ADGRG6,ADGRV1,ADORA2B,ADRA1B,ADRB2,AKT1,APC,ARHGEF1,ARHGEF2,ARHGEF3,AXIN1,BBC3,BIRC2,BMP1,BMP2,BMP4,BMP8B,BMPR1A,BRAF,CASP3,CASP6,CASP7,CASP8,CBL,CCND1,CCND3,CCNE2,CCR3,CCRL2,CDK4,CDKN1A,CELSR3,CTNNA1,CTNNB1,DVL1,E2F3,E2F6,E2F7,EDN1,FFAR4,FPR1,FYN,FZD1,FZD2,FZD5,GAB2,GIPR,GLI1,GNAI1,GNB1,GNG11,GPER1,GPR132,GPR17,GPR176,GPR180,GPR39,GPR78,HCAR1,HDAC1,HDAC5,HDAC7,HDAC9,HIPK2,IFNAR1,IL15RA,IL17RD,IL17RE,IL1A,IL1B,ITGAE,ITGB3,ITGB6,ITGB8,JAK3,LAMTOR3,LEF1,LGR5,LRP1,MAP2K1,MAP2K6,MAPK13,MMP1,MMP10,MMP16,MYC,NBN,NFKB2,NFKBIA,NOTCH1,NPY1R,P2RY11,P2RY2,PAK1,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PRKACB,PRKCD,PRKCI,PTGER4,PTGFR,PTK2,RABIF,RALGDS,RAP1A,RAPGEF3,RASD1,RB1,RBL1,RBL2,RELA,RELB,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,S1PR2,SHC3,SHH,SMAD4,SMAD6,SOS1,SPIN1,SSTR2,TCF3,TFDP1,TGFB1,TGFB3,TP53"
Neuregulin Signaling,4.52,0.246,1.706,7.71112,"AKT1,AREG,BTC,CDK5,DLG4,EGFR,ERBB3,EREG,ERRFI1,GRB7,HBEGF,HSP90B1,ITGAE,ITGB3,ITGB6,ITGB8,MAP2K1,MYC,NRG1,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RRAS,SOS1,STAT5A,STAT5B"
Signaling by VEGF,3.22,0.224,2.449,7.88578,"AAMP,ABI2,AHCYL1,AKT1,AXL,CAV1,CTNNA1,CTNNB1,CYBB,FYN,ITGB3,KDR,MAPK13,MAPKAP1,MAPKAPK2,NCKAP1,PAK1,PIK3R1,PRKACB,PRKCD,PRR5L,PTK2,SPHK1,TRIB3"
Sheddase Signaling Pathway,6.03,0.23,1.313,7.91739,"ADAM28,AREG,BIK,CCN1,CCN2,CCN3,CCR3,CCRL2,COL1A2,COL4A1,COL4A2,COL4A5,E2F3,E2F6,E2F7,EGFR,ELF1,ELF3,ELF4,ETS1,GNAI1,HBEGF,IL1B,ITGB3,ITGB6,ITGB8,KDR,MAPK13,MMP1,MMP10,MMP16,NFKB2,PDGFA,PDGFRB,PIK3C2B,PIK3R1,PIK3R3,PRSS3,RAET1L,RELA,RELB,TGFB1,TGFB3,TIMP1,TIMP3,TMPRSS2,ULBP3"
Pancreatic Adenocarcinoma Signaling,7.27,0.288,1.091,7.93157,"AKT1,CCND1,CCNE2,CDK4,CDKN1A,CYP2E1,E2F3,E2F6,E2F7,EGFR,HBEGF,HDAC1,HDAC5,HDAC7,HDAC9,JAK3,MAP2K1,NFKB2,NOTCH1,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PLD2,PLD3,RALGDS,RB1,RBL1,RBL2,RELA,RELB,SMAD4,TFDP1,TGFB1,TGFB3,TP53"
Cell Cycle: G1/S Checkpoint Regulation,7.38,0.362,1.091,8.05158,"CCND1,CCND3,CCNE2,CDC34,CDK4,CDKN1A,E2F3,E2F6,E2F7,GNL3,HDAC1,HDAC5,HDAC7,HDAC9,MYC,NRG1,RB1,RBL1,RBL2,RPL5,SMAD4,TFDP1,TGFB1,TGFB3,TP53"
Coronavirus Pathogenesis Pathway,4.87,0.213,1.718,8.36666,"ADAM9,CASP3,CASP8,CCL2,CCND1,CCNE2,CDK4,DDIT3,DPP9,E2F3,E2F6,E2F7,EIF2A,HDAC1,HDAC5,HDAC7,HDAC9,IFNAR1,IL1B,IRF3,MAPK13,MT-RNR2,NFKB2,NFKBIA,NPC1,OAS1,OAS2,OAS3,RB1,RBL1,RBL2,RELA,RELB,RPS16,RPS19,SERPINE1,SMAD4,TFDP1,TGFB1,TICAM1,TLR3,TLR7,TMPRSS2,TP53,TRAF3"
Human Embryonic Stem Cell Pluripotency,5.5,0.225,1.64,9.02,"ACVR2B,AKT1,APC,AXIN1,BDNF,BMP1,BMP2,BMP4,BMP8B,BMPR1A,BRAF,CTNNB1,DVL1,FZD1,FZD2,FZD5,HSP90B1,JAK3,MAP2K1,MAP2K6,MAP2K7,MYC,NFYC,NGF,NOG,PDGFA,PDGFC,PDGFRB,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RRAS,S1PR2,SMAD4,SMAD6,SOS1,SPHK1,TCF3,TGFB1,TGFB3,WNT2B"
Ceramide Signaling,5.37,0.286,1.706,9.16122,"AKT1,CERK,CTSD,MAP2K1,MAP3K1,NFKB2,NGFR,NSMAF,PIK3C2B,PIK3R1,PIK3R3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,RAP1A,RASD1,RELA,RELB,RRAS,S1PR2,SPHK1,SPHK2,TNFRSF11B,TNFRSF1B"
Autophagy,4.78,0.21,1.982,9.47396,"AKT1,ARNT,BECN1,CAMKK2,CHP1,CREB3L2,DAPK3,DDIT3,EIF2A,EPG5,ERN1,GORASP2,LAMP1,MAP1LC3C,MAP2K1,MAP2K7,MYC,NFKB2,NGFR,PIK3C2B,PIK3R1,PIK3R3,PPM1D,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PPP3CA,PPP3CC,PRKAB2,PRKACB,RAB7B,RIPK2,TGFB1,TICAM1,TLR4,TNFRSF11B,TNFRSF1B,TP53,TRAF3,ULK1,UVRAG,VPS18,VPS33B,WIPI1"
Cardiac Hypertrophy Signaling (Enhanced),4.97,0.173,2.012,9.99964,"ACVR2B,ADCY6,ADCY7,ADRA1B,ADRB2,AKT1,ATP2A1,CACNA1F,CACNA2D2,CACNG7,CHP1,CTNNB1,CYBB,DLG1,DVL1,DVL3,EDN1,EIF2B4,EIF2B5,EIF4EBP1,FGF5,FZD1,FZD2,FZD5,GDE1,GNAI1,GNB1,GNG11,HDAC1,HDAC5,HDAC7,HDAC9,IFNAR1,IKBKE,IL15RA,IL17RD,IL17RE,IL1A,IL1B,INPP5F,ITGAE,ITGB3,ITGB6,ITGB8,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K20,MAP3K4,MAP3K9,MAPK13,MAPK7,MAPKAPK2,MYC,NFKB2,NGFR,PDE10A,PDE2A,PDE4A,PDE4B,PDE7B,PDE8B,PDE9A,PIK3C2B,PIK3R1,PIK3R3,PKN1,PLCB3,PLCD3,PPP3CA,PPP3CC,PRKACB,PRKCD,PRKCI,PTK2,RAP1A,RASD1,RELA,RELB,RRAS,SRF,TGFB1,TGFB3,TGFBR3,TNFRSF11B,TNFRSF1B,TNFSF12,TNFSF15,TNFSF9,WNT2B"
Osteoarthritis Pathway,6.21,0.223,1.622,10.07262,"ADAMTS4,ALPP,BMP2,BMPR1A,CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,CREB3L2,CTNNA1,CTNNB1,DDR2,ELF3,FRZB,FZD1,FZD2,FZD5,GDF5,GLI1,IL1B,IL1RAPL1,ITGAE,ITGB3,ITGB6,ITGB8,LEF1,LRP1,MMP1,MMP10,NAMPT,NFKB2,NOTCH1,PDGFC,PPARD,PPARG,PPARGC1A,PRKAB2,RARRES2,RELA,RELB,S1PR2,SMAD4,SMAD6,SOX9,SPHK1,TCF3,TGFB1,TIMP3,TLR4,TNFRSF1B,ZNF875"
Acute Myeloid Leukemia Signaling,5.27,0.283,2.065,10.88255,"AKT1,BRAF,CCND1,CSF1R,EIF4EBP1,IDH1,IDH2,LEF1,MAP2K1,MAP2K6,MAP2K7,MYC,NFKB2,PIK3C2B,PIK3R1,PIK3R3,PIM1,RAP1A,RASD1,RELA,RELB,RRAS,SOS1,STAT5A,STAT5B,TCF3"
IL-15 Production,4.23,0.238,2.646,11.19258,"AXL,CLK3,CSF1R,DDR2,DYRK3,EGFR,EPHA4,EPHB4,ERBB3,FRK,FYN,IRF3,JAK3,KDR,MAP2K1,MAP2K6,MAP2K7,MUSK,NFKB2,PDGFRB,PRKCI,PTK2,PTK6,RELA,RELB,ROR1,TIE1,TYRO3,YES1"
Angiopoietin Signaling,3.65,0.26,3.207,11.70555,"AKT1,ANGPT1,GRB7,IKBKE,NFKB2,NFKBIA,PAK1,PIK3C2B,PIK3R1,PIK3R3,PTK2,RAP1A,RASD1,RELA,RELB,RRAS,SOS1,STAT5A,STAT5B,TIE1"
Myelination Signaling Pathway,8.65,0.226,1.395,12.06675,"ACVR2B,ADAM22,ADGRG6,AKT1,APC,AXIN1,BDNF,BMP1,BMP2,BMP4,BMP8B,BMPR1A,BRAF,CHP1,CREB3L2,CTNNB1,DAG1,EGFR,EIF4EBP1,ERBB3,FRK,FYN,FZD1,FZD2,FZD5,GLI1,GPR17,HDAC1,HDAC5,HDAC7,HDAC9,IDI1,IGF2R,ITGB3,ITGB6,ITGB8,LAMA3,LAMA4,LAMB1,LAMB3,LAMC1,MAP2K1,MYRF,NDRG1,NFKB2,NGF,NGFR,NOTCH1,NOTCH2,NRG1,PDGFA,PDGFC,PDGFRB,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,PRKACB,PTK2,RAP1A,RAPGEF3,RASD1,RRAS,SHH,SLC2A1,SMAD4,SMAD6,SMARCA4,SOS1,SREBF1,WNT2B,YES1,ZNF875"
Sertoli Cell-Sertoli Cell Junction Signaling,6.8,0.227,2.023,13.7564,"ACTN1,AFDN,AKT1,AXIN1,CDH11,CDH20,CDH24,CGN,CLDN9,CREB3L2,CTNNA1,CTNNB1,DLG1,EGFR,EPN2,F11R,ICAM1,IL1A,IL1RAPL1,KEAP1,LAMA3,LAMA4,LAMB1,LAMB3,LAMC1,MAP2K1,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K20,MAP3K4,MAP3K9,MAPK13,NECTIN2,NFKB2,NGFR,PAK1,PIK3C2B,PIK3R1,PIK3R3,PTK2,RAP1A,RASD1,RRAS,SPTB,SPTBN1,SPTBN2,SYMPK,TGFB3,TIMP1,TNFRSF11B,TNFRSF1B,TUBA1A,TUBG1,YBX3"
HER-2 Signaling in Breast Cancer,8.15,0.247,2.309,18.81835,"AKT1,AREG,BRAF,CASP3,CASP6,CASP7,CCND1,CCNE2,CDK4,CDKN1A,COX7B,EGFR,ELF1,ELF3,ELF4,ERBB3,ETS1,FRK,FYN,HBEGF,IKBKE,IL1A,ITGB3,ITGB6,ITGB8,MAP2K1,MYC,NDC1,NFKB2,NFKBIA,NRG1,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93,PARD6G,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RB1,RBL1,RBL2,RELA,RELB,RRAS,SMAD4,SOS1,TP53,YES1"
Pulmonary Fibrosis Idiopathic Signaling Pathway,8.02,0.221,2.39,19.1678,"ACVR2B,AKT1,AREG,AXL,BBC3,BRAF,CAV1,CCN2,CCND1,COL16A1,COL1A2,COL20A1,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,CTNNB1,EDN1,EFNB2,EGFR,EGR1,EIF4EBP1,EPHB4,EZH1,FZD1,FZD2,FZD5,GLI1,IL1B,ITGB6,JARID2,LEF1,MAP2K1,MAP2K6,MAPK13,MMP1,MMP10,MMP16,MTF2,MUC1,NFKB2,NOTCH1,NOTCH2,NOTCH3,PDGFA,PDGFC,PDGFRB,PIK3C2B,PIK3R1,PIK3R3,PINK1,PTK2,RAP1A,RASD1,RBBP4,RELA,RELB,RRAS,SERPINE1,SMAD4,SOS1,SRF,STAT6,TCF3,TGFB1,TGFB3,TGFBR3,TP53,WNT2B"
Hepatic Fibrosis Signaling Pathway,9.01,0.214,2.39,21.5339,"ACVR2B,AKT1,APC,AXIN1,BAMBI,BRAF,CACNA1F,CACNA2D2,CACNG7,CASP3,CCL2,CCN2,CCND1,COL1A2,CREB3L2,CSNK1D,CSNK1E,CTNNB1,CYBB,DVL1,DVL3,EDN1,FZD1,FZD2,FZD5,GLI1,GNAI1,ICAM1,IKBKE,IL1A,IL1B,IL1RAPL1,IRAK2,ITGAE,ITGB3,ITGB6,ITGB8,KDR,LEF1,LRP1,MAP2K1,MAP2K6,MAP2K7,MAPK13,MMP1,MYC,MYL12A,MYL12B,NFKB2,NFKBIA,NGFR,PDGFA,PDGFC,PDGFRB,PIK3C2B,PIK3R1,PIK3R3,PPARG,PRKACB,PRKCD,PRKCI,PTK2,RAP1A,RASD1,RELA,RELB,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,SDHA,SERPINE1,SHH,SMAD4,SOS1,TCF3,TFRC,TGFB1,TGFB3,TGFBR3,TIMP1,TLR4,TNFRSF11B,TNFRSF1B,WNT2B,ZNF875"
